text,label
Mais vous n'êtes plus en relation amoureuse!,1
"Ne laissez pas passer l'amour. Aimez-la et surtout, dites-lui ce que vous ressentez.",1
C'est effectivement inexplicable.,1
Je vous ai verbalisé d'un abus et je n'en ai pas honte.,1
Le silence est d'or.,1
"Essaye de le rejoindre quand tu pourras. Sinon, invite l'est venue là où tu es.",1
Il semblerait que votre bêtise est atteint des profondeurs qui vont au delà de mes capacités de compréhension.,1
"Tant que tu restes toi-même, ""évoluer"" ne veut pas forcément dire ""changer"".",1
Vous devez certainement vous tromper,1
"De nos jours, c'est un sujet de conversation qui est difficile à aborder.",1
Elle s'inquiète peut-être uniquement parce que sa fille est encore mineure.,1
"Dans le feu de l'action, certains mots peuvent être excitants !",1
Tu pourras toujours trouver du travail dans sa région si c'est en France.,1
Un homme qui mange à tous les râteliers n'est jamais sérieux et fiable. Fuis !,1
"C'est un homme qui n'a pas de cœur, ni de conscience et qui doit absolument se faire soigner.",1
Prend bien soins de lui.,1
"Ne te presse pas, au moment venu, tu oublieras même que ton cœur a jadis saigné.",1
"Pour plus d'ample information, envoyer un message courriel.",1
"Drôle, n'est-ce pas? C'était la femme de ménage!",1
La chose est certes sexiste et quelque peu malhonnête !,1
"Je préfère me méfier. On ne sait jamais, ça existe peut-être.",1
Je me fais régulièrement draguer par des femmes.,1
"Autrement, lorsque le pire surviendra, le couple n'existera plus.",1
Ne vous faites pas de soucis.,1
Essayez de comprendre leur ressenti plutôt que les insulter.,1
"J'en ai constaté les réactions, ce n'est pas très sympathique.",1
Il faut les ignorer. Vous êtes bien plus intelligente qu'eux.,1
"En dépit de cela, il doit être très pénible de recevoir quotidiennement de telles personnes !",1
"Bien entendu, je le possède !",1
Je dois reconnaître que j'y suis quand même très attaché !,1
"Ensuite, cela recommence.",1
"Les bouquets étaient somptueux, encore frais et très bien emballés. (Arrivés en parfait état)",1
Je te suivrai même si tu m'évites.,1
"Absolument pas, cette idée est fausse.",1
Tous mes professeurs au lycée sont bien trop âgés.,1
"Essayez un parfum à l'abricot, l'odeur est discrète.",1
Les gens peu intéressants ne sont pas fréquentables c'est certain.,1
Je dirai la Méditerranée afin de pouvoir me rapprocher de mon amoureux.,1
"Alors qu'aller à un bar est une activité plaisante, et boire un verre facilite le dialogue.",1
Je suis dans une excellente humeur!,1
"Je ne pense pas que vous soyez manipulateur, c'est votre personnalité qui est ainsi.",1
"Enfin, vivement ce soir que je pratique un petit peu!",1
Peut-être qu'elle te fera mal au cœur mais au moins tu tourneras peut-être plus facilement la page!,1
Je le fais systématiquement et cela me plaît énormément.,1
"Lorsque que mon père me dit ""viens ici !"".",1
"Je n'ai jamais dû faire face à ce genre de problème, Dieu merci.",1
"En ce qui me concerne, cela me mettrait pas à l'aise du tout.",1
"Il faut commencer l'oublier et ne plus penser, ni même souhaiter le reconquérir un jour.",1
Il te dit ça parce qu'il a peur de te faire beaucoup souffrir.,1
"Quel soit virtuel ou réel, la question est comment savoir si une personne est sérieuse.",1
Comment les femmes le peuvent encore ?,1
"Ne perds pas espoir, tu en trouveras un au moment où tu t'y attendras le moins!",1
Je suppose qu'elles souffrent énormément.,1
"L'amour peut-être décrit comme étant la recherche de ce que nous n'avons pas, autrement dit la quête de l'idéal.",1
"Bien moi, cela ne me dérange pas!",1
"Il est impossible que tu le lui dises sans la blesser, les femmes ont tendance à mal interpréter ce que les hommes disent.",1
C'est un signe d'amour distinct.,1
"La serrer dans ses bras, la sentir, lui parler, mais ne pas la mordre.",1
"Oui, je crois que c'est le cas.",1
"Selon moi qui suis mère et grand mère, c'est horrible de condamner une fille si jeune à une telle vie.",1
Je te donne ma parole que je n'ai ni rayé ni crevé les pneus de ta voiture.,1
"Personnellement, cela ne m'excite pas.",1
L'objectif c'est de tout faire pour que tu puisse être heureuse.,1
"C'est peut-être le côté gratuit, mais celles qui cherchent vraiment une rencontre sont rarissimes.",1
"En réalité, c'est similaire à ""Je t'aime, moi non plus.""",1
"Il n'est pas nécessaire d'acheter quelque chose, tu peux lui confectionner toi même un cadeau.",1
Profites-en si cela se passe bien.,1
Prouve-le-lui lorsque tu lui fais l'amour.,1
Tu dois avoir du mal!,1
Tu pourras dire des choses à ta meilleure amie que tu ne pourras pas dire à ta petite amie.,1
Je vous embrasse également.,1
"Cela dure depuis des siècles, c'est-à-dire depuis la fin du moyen-âge.",1
J'ai des regrets mais je ne reviens jamais en arrière.,1
"Un ami, dans notre époque, c'est très rare pour éviter de dire inexistant.",1
J'apprécierais que tu reformules ta question.,1
"Toutes mes excuses, je ne connais pas ta femme.",1
On ne vit définitivement qu'une seule fois!,1
On n'entame pas une relation simplement pour faire plaisir à une personne.,1
"Bien évidement, si le besoin s'en présente.",1
Peut-être que ce n'était pas la bonne personne!,1
Il s'agit d'un homme dépourvu de cœur ou de conscience et il est impératif qu'il se fasse suivre médicalement.,1
Ce n'est pas une situation facile!,1
Ça va venir. Je le vois dans ma boule de cristal !,1
"Tu dois être aimable, attentionné et drôle.",1
"C'est la personne en qui je fais le plus confiance au monde, de plus, nous parlons beaucoup, on se dit tout !",1
Tu devrais simplement lui en parler.,1
C'est un secret d'hommes qui restent entre hommes.,1
"Inutile, fais-lui des choses qu'il ne connaît pas, cela fonctionne mieux.",1
Restes concentrée sur ce que tu fait et plus particulièrement sur ce que font les autres.,1
Tu me suggères de le voir seul.,1
"Personnellement, je ne crois dans les relations amicales entre homme et femme.",1
"Il ne cherche pas à se dissimuler, il préfère tout simplement le confort de son domicile.",1
Cela est démoralisant et ce n'est pas vraiment convenable.,1
Bien sûr tu lui fait un massage plus spirituel.,1
Ne lui laisser aucun autre choix que de divorcer afin de pouvoir s'installer à deux.,1
"Celui qui le veut réellement, le peut.",1
"Ils ne sont pas tous ainsi, mais il est vrai que cela sera difficile à oublier.",1
C'est enfin à ce moment-là que tu comprends ce qu'est le bonheur.,1
Le père de tes enfants est peut-être bon géniteur mais cela ne signifie pas qu'il est ton âme-sœur.,1
Une manière de ne pas être désorienté.,1
C'est la moindre des courtoisies de dire bonjour à ceux qu'on aime!,1
Il vous adore peut être et n'ose pas vous le dire.,1
Il est vrai que j'en rêve souvent.,1
"Si vous accordez de l'importance à votre relation, essayez de vous rapprocher de lui avant qu'il ne vous quitte.",1
"Il sait plus que toi, c'est comme avoir un meilleur ami et un copain en même temps.",1
"C'est la personne en qui j'ai le plus confiance au monde. En plus, on communique beaucoup. On se dit tout !",1
Beaucoup de personnes sont superficielles et ne cherchent pas à en savoir davantage.,1
"Avec un peu d'imagination, tu peux trouver une idée pour l'impressionner.",1
"Le film est bien, c'est vrai.",1
L'essentiel est d'être en mesure de choisir le partenaire idéal.,1
Ne panique si tu possèdes déjà ta moitié et que cela persiste.,1
Ne désespère pas surtout. Tu trouveras quand tu t'y attendras le moins.,1
"Tout ira bien tant qu'il y aura de l'argent disponible dans ton compte, mais le diseur de bonne aventure aura vite fait de tout dérober.",1
Peu d'hommes pense a la femme mais elle aussi en a de besoin.,1
Je te souhaite bon courage!,1
"Il est vrai que vous posez une bonne question car vous ne possédez rien de ce que les personnes recherchent, c'est à dire amour, fidélité, et confiance.",1
Je n'exprime aucune opinion sur toi.,1
"Peut-être que tu ne l'aimes pas suffisamment pour pouvoir lui dire, sans quoi tu l'aurais déjà fait.",1
Tu es dans une situation problématique!,1
"Il est possible que le problème vienne de votre personnalité, ceci dit je vous déconseille de la changer, après tout vous avez le droit d'être aimé comme vous êtes.",1
Je vous conseil de mordre fortement l'oreiller et d'essayer de divertir l'esprit.,1
"Pour ma part, je ne pense pas qu'une amitié véritable puisse exister entre deux personnes de sexe différents !",1
Je t'ai trouvé un bon passe-temps : apprendre à écrire !,1
"Oui, c'est possible, j'ai un ami que je considère comme un frère.",1
Ce n'est pas demain qu'il me parlera de la sorte !,1
"Non, mais tu peux essayer.",1
Comment est-il possible d'accorder sa confiance à un être humain?,1
"Il faut sortir la fin de semaine, sinon le stress de la semaine prend sur le corps.",1
"Personnellement, je dois malheureusement aller travailler.",1
"Je suis indécis, le froid supprime les sentiments et donc par conséquence la frustration continue d'augmenter.",1
Ne vous inquiétez pas car il parviendra tôt ou tard à franchir le niveau 2.,1
"Je faisais beaucoup de sports. Il paraît que je me suis donné un coup, ce qui ouvert mon hymen.",1
Faut y aller tranquillement.,1
Félicitations à tes parents s'ils t'ont élevé ainsi!,1
Je ne suis pas un adolescent mais un adulte.,1
"Si l'on s'aime, quel est le problème?",1
On se pomponne rapidement pour plaire.,1
"Oui, il est clair que le temps peut être accordé, mais cela ne devrait pas coûter trop cher de toute façon.",1
Il se languissait tellement de ma personne qu'il n'a eu de cesse de faire maintes allers-retours.,1
Je ne lui ressemble nullement!,1
Ce n'est pas très bien.,1
Abstenez-vous pendant quelques jours.,1
C'est un peu comme un enfant qui ne souhaite plus jouer avec son jouet.,1
Savoir ce qu'elle souhaite !,1
"Également, prends-garde: le Poppers est nocif pour le cerveau.",1
Il est vrai que je n'ai confiance en personne.,1
Il fallait le mentionner préalablement.,1
"Si tu as eu un mauvais comportement avec eux, dis leur que tu vas le changer.",1
"C'est comme le fait de ne plus être attaché a nos bonne vielle habitudes, comme avec les enfants et leurs jouets.",1
Le coup que l'on donne parce qu'on en peut plus et non parce qu'on souhaite faire du mal.,1
"Je ne suis pas d'accord, personnellement je préfère passer à autre chose et me débarrasser de tous les souvenirs et présents en ma possession.",1
"Tu verras, lorsque tu en auras un, tu le reconnaîtras.",1
"Cela ne s'applique pas à moi, il s'avère que je suis dans la même situation.",1
