text,label
"Na minha ótica, deu somente problema.",1
Apenas para que ele entenda e cesse os cortejos.,1
"Ela tentou pedir desculpas a mim, mas ele recusou.",1
"Pelo simples fato de ser bonita e inteligente, eles ""morrem de medo"".",1
"Bem demorando, outras pessoas enloque cem e até pedem por mais.",1
É difícil comentar sobre isso quando não se está presente.,1
Particularmente acho possível trair o companheiro e continuar o amando.,1
"Se ele não vai à igreja, o problema é dele.",1
"Beijar não mata ninguém, fique com ele, sem compromisso!",1
Converse e ajude ela.,1
"Baseado no seu avatar, você deve ser bastante bonito.",1
Eu sou homem e gosto de mulheres.,1
"Quando fazemos algo para alguém, também fazemos e principalmente para nós.",1
Seja feliz e coloque a sua confiança em Deus.,1
Isso nunca aconteceu comigo!,1
"Raiva, eu acredito que seria o que você está sentindo.",1
Ainda bem que isso aconteceu comigo apenas na idade correta.,1
Nós precisamos ajudar enquanto eles ainda possuem vida.,1
"Sim, adoro principalmente quando ela é encantadora.",1
"Se existe amor, então dará certo.",1
"No final, acredito que todos querem isso.",1
Quem de nós pode ser considerado perfeito? Um abraço.,1
"Ficaria quieto, pois não sou preconceituoso.",1
"Dependendo da razão que te causou tal mágoa, não reate o relacionamento mas perdoe.",1
Estou aceitando qualquer situação proposta.,1
"O 69 e o coqueirinho são minhas preferidas, com certeza.",1
Não se deve agredir fisicamente os filhos.,1
"É sério? Desculpe-me, mas eu não faço questão que o homem seja virgem.",1
Palavras de baixo calão que o sistema substitui por asterisco.,1
"Afinal, ninguém é perfeito, mas pode melhorar aos poucos.",1
Não! Eles não valorizam a sensualidade e nem sabem o que é isso.,1
"E tente entender a sua sogra, por mais difícil que isso possa significar.",1
"Alguns, realmente, traem, de fato.",1
Qual foi o maior momento de vergonha que já tive experiência? Tenho vergonha de dizer.,1
"Um homem jovem, bonito e forte é sempre desejado.",1
"Homem gosta de mulher e nada mais, esse lance de desprezo faz com que um homem procure outra mulher!",1
Mostre seus valores!,1
Lerei a pergunta.,1
"- Sim, respondeu a ilustre senhora.",1
"Que você a respeita e, por esse motivo, não conta os defeitos dela para ninguém.",1
"Estou aqui, volte logo!",1
Eu não tenho razão para fazer reclamações.,1
"Se ela decidir provar a roupinha, já é maldade. Agora, se ela decidir comprá-la, é porque é bandida mesmo!",1
"Não sinto ada com a camisinha, pois parece que fica com uma sensação de dormência.",1
"Amor não se esquece, porque não é uma lembrança.",1
Eu lhe desejo boa sorte.,1
É relativo e depende muito de cada pessoa.,1
Quem sabe você não encontra um par perfeito aqui no site.,1
"Eles decidem, caso aprovem, irão emitir um documento oficial.",1
"Ainda agora, será o aniversário de alguém muito estimado, que faleceu esse ano, e eu não sei como encarar este dia.",1
"A mesma largura, a mesma tensão pré-menstrual, o homem tem de espalhar seu esperma pelo mundo!",1
"Escreveria à eles, dizendo que tenho saudades.",1
"Porque alguns são tolos, não sabem o que quer e não dão valor para quem está ao seu lado.",1
"Ele quiser, tudo bem, mas caso não queira, garanto a você que terá alguém quem queira.",1
"Posso garantir uma coisa, existem muitas que adoram.",1
E nos permite viajar.,1
Toda relação tem um desenlace.,1
Visto que você não parece ser bonito e provavelmente deve beber excessivamente.,1
"O melhor seria em ambos, Igreja e cartório.",1
"Ao relaxar, sentirá prazer.",1
"Também pode tentar os sites de relacionamento, tipo Orkut ou Gazzag.",1
"Não tenho experiências com isso, mas acredito que estoura e é melhor lubrificar com gel próprio para o ânus.",1
Deve demonstrar fidelidade quando se é amigo também.,1
"Pense bem sobre o assunto, caso não tenhamos fé em Deus, qualquer pessoa pode nos fazer mal.",1
"Nunca experimentei, mas conheço muitos que tomam continuadamente.",1
Eu tentaria não sofrer muito pois homens não são dignos de nossas lágrimas.,1
Estou aqui para responder à pergunta que deixou na minha.,1
Eu senti desejo. É estimulante saber que uma pessoa te quer.,1
"Neste momento a menina nasceu, e a mãe, toda empolgada, perguntou que nome daremos.",1
"Faça novas amizades e se matricule em algum curso. Caso já tenha feito, procure amizades com quem você já conheça, será legal.",1
A pior coisa que tem é quando a pessoa quer te derrubar e você não deixa!,1
Ele perceberá e não pressionará mais sobre isso.,1
"Sou divorciado, não tenho nenhuma namorada virtual, porque mulher comigo é só na cama.",1
Passe a morar em São Paulo.,1
"Não vá pela ideia dos ""sem cabeça"" dos crentes.",1
"Esse aparelho, que parece um coador sem fundo, mede a direção do vento.",1
"Olhe, pirulito, acredito que o melhor a se fazer é tirar dúvidas.",1
"Tente relaxar, boa sorte.",1
"Não imagine que te desejo mal, apenas não te quero mais!",1
"Eu não, pois trabalharei normalmente.",1
Eu nunca tive essa experiência.,1
"Tento tratá-la como uma dama, mesmo sabendo que ela não tem nenhum valor moral como mulher.",1
"Fique calmo, após o casamento melhora.",1
"Visto que você não quer conversar diretamente com ele, pergunte a algum amigo dele se ele gosta de você.",1
"Fale a verdade, mesmo que ela não acredite.",1
Estou esperando que seus amigos sejam desa forma.,1
"Não é fácil mas, te dou um conselho, nunca o atormente.",1
"Namoro à distância acrescida de traição, é igual a separação!",1
Perdão eu só pediria a Deus!,1
"Homens, na maioria das vezes, só estão querendo relações sexuais.",1
Acredito que tenha sido a ocasião em que eu sai com todos os meus amigos e festejamos até muito tarde.,1
"Olha, infelizmente esse negócio de paixão, pra mim, é ""coisa de doido"".",1
"Se o amor existe, tudo ficará bem.",1
Eu agradeço a Deus por estar vivo!,1
Eu apenas sei que fico mais bonita quando o tempo está frio.,1
"Eu, por exemplo, não conto mais quando meus ex telefonam e ficam dando em cima de mim.",1
Acho que ambos podem ser bons.,1
"Léo, parece que tudo poderá desencadear nisso.",1
Não realize esse ato insensato.,1
Porque pesquisas com embrião são caracterizadas como experiências com cobaias de vidas humanas pela igreja.,1
Não quero ser uma pessoa normal.,1
Uma hora perceberão que você não quer ais estar perto delas e te esquecerão.,1
Como você é boazinha!,1
"Não tem do que se preocupar, pois ela come de tudo, principalmente alimentos saudáveis.",1
"Oi Milena, estou aqui.",1
"Diga a verdade, mesmo que ela não acredite.",1
"Porque eles têm a famosa ""crise de machão"", aquele que é autossuficiente em tudo!",1
"Não entendo. Ele se masturba logo e, em seguida, diz que tem quer mais.",1
"Paixão é algo avassalador, mas passa logo. O amor é paciente e duradouro.",1
Fui prejudicando sem perguntar.,1
"Se vocês se encontram com frequência, deves fazer algo para, aos poucos, ele ir se acostumando com a sua presença.",1
"Escreveria para eles, informando que sinto saudades.",1
O que fiz foi somente uma piada.,1
É sempre uma ótima opção fazer novos amigos e descobrir outros horizontes.,1
"Se a pessoa não estiver a fim, é melhor desistir.",1
"Alexandre, tenho 18 anos de idade.",1
Não imagino o que seja e também não quero pensar sobre isso.,1
"Abra seus olhos, pois você precisará ter uma conversa séria e franca.",1
É o ser supremo para mim.,1
"Cuidado para não se magoar, meu conselho é que vá com calma e mantenha segurança em suas atitudes.",1
"Acho que isso é algo relacionado à herança, visto que antigamente as mulheres eram proibidas de muitas coisas.",1
Acredito que foi quando eu saí com  todos os meus amigos e fizemos uma farra até altas horas.,1
Mas é claro; eu sou uma pessoa muito tempestuosa.,1
"Não diga muito, apenas a encare.",1
Essa atitude não é amor.,1
O momento presente só parece trazer coisa boa.,1
Agressão e falta de respeito com outro ser humano são relacionados ao caráter de uma pessoa.,1
"Foi só falar das mentiras da eleição que começa o preço da gasolina, do pão e de outras coisas subiu, e é por esse motivo que não sobra mais dinheiro até o fim do mês.",1
"Amigo, você é ótimo.",1
"Esta é bem antiga, mas ainda é engraçada.",1
Foi só um aceno positivo com um sorriso.,1
Faça sexo com ele que será o suficiente para deixá-lo apaixonado.,1
Ficar próximo de qualquer pessoa que eu amo.,1
"Hilário, você é inteligente demais.",1
Melhor que você peça a alguém que conheça e seja dono de um site.,1
Não fique chateada com essa situação!,1
Seria melhor você começar a se produzir com fantasias eróticas bem sensuais e assistir filmes variados do seu gosto.,1
Acredito que consideram homens assim muito carentes e fáceis.,1
"Sim, mormente quando sou sincero.",1
"Certamente, nós não somos surdos.",1
"Eu beijo com os olhos abertos, às vezes, e meu namorado também.",1
Festeja essa graça incrível.,1
"Tudo bem, pode ser apenas conversa.",1
Temos várias coisas embaixo do sol.,1
Acredito que eu seja melhor.,1
"Eu encararia o passado e analisaria, um pouco, o sofrimento alheio.",1
Eu não aprovo o horário de verão.,1
Agora depende do que acontecer.,1
"Tá bom, pode ser só uma conversa?",1
"Sim, já fiz mas, realmente, não é possível contar.",1
É devido ao medo de se envolver com outra pessoa.,1
"Que situação desconfortante, posso afirmar que já passeio por isso, mas atualmente sou muito feliz. Conheci outra pessoa e nos casamos.",1
Acho esta pergunta totalmente errada. Se você ama a pessoa errada é porque você não soube escolher.,1
"Pior é quando você chega tarde, faz a pergunta, não tem resposta, fica esperando e nada.",1
É uma situação normal. Principalmente se o parceiro contribuir.,1
"Não se engane de que ele vai terminar seu atual relacionamento para poder ter um relacionamento com você, pois esses casos são muito raros.",1
"Para mim, mulher é tudo nesse mundo.",1
Tomei coragem e a chamei para sair.,1
"Caso Deus solicite a mim, irei para o que for preciso.",1
Que ele conheço como deve se beijar.,1
Nunca cometi traição com minha esposa.,1
"Apesar de sua namorado vir do interior, ela é bem mais esperta do que você.",1
"Veja, você só ficará realmente em paz caso tenha capacidade de perdoá-lo, por ter deixado você mais uma vez.",1
Estou sempre afim de conversar e é apenas enviar o MSN.,1
"Já disseram que obesidade se transmite por um aperto de mão, e que pessoas gordas têm de pagar mais impostos, e etc.",1
Vocês são imorais.,1
"Não. Quem sabe um dia, mas agradeço pelo convite.",1
Embora que sou amante das mais gordas.,1
"Você é muito precoce, aproveite as coisas da vida, para que não se frustre no futuro!",1
Embora eu seja amante de mulheres acima do peso.,1
"Nunca tomei mas conheço muitos que tomam, e tomam direto.",1
Eu anseio por alcançar meu guru.,1
"Você não deve mudar de atitude, pois enfrentá-las pode te prejudicar.",1
"Muito engraçada essa. Caso tenha mais piadas pode enviar para o pessoal, muito obrigado.",1
Eu também era assim.,1
Uma mão no teclado e a outra no pênis.,1
Peço a Deus que abençoe nossas vidas.,1
"Sou divorciado e não tenho nenhuma namorada na internet, porque mulher comigo é só na cama.",1
Não chegamos sempre calmos.,1
"Também já passei por algo parecido. Esse tipo é bem comum na internet, não quero dizer que todos são assim.",1
Deixe ele ser magro como gosta.,1
Somente para ele perceber e parar de me flertar.,1
"Não te darei uma resposta óbvia para uma pergunta desgastada, pois ela se remete a história de quem veio primeiro: o ovo ou a galinha.",1
"Se está ocorrendo isso, é devido a cair na rotina, então busquem realizar coisas novas e diversificadas.",1
Há muitos grupos que tornam acessíveis.,1
"Se você já o conhece ou é amigo dele, então isso é um avanço.",1
"Não pense que te desejo mal, apenas não te quero mais.",1
O que não é verdade.,1
"No máximo quatro dias, após esse período, ele não consegue pensar e trabalhar direito.",1
amizades são bem vindas sempre.,1
"Foi quando acessei o site mesmo, a minha primeira pergunta foi sobre o final da belíssima novela.",1
"Não, obrigada, e que foto é essa aí?",1
"A paixão não doi, mas sim a indiferença.",1
"Atenção, o produto é para uso tópico, não para ser cheirado.",1
Nós todos temos essa capacidade.,1
Pela pergunta estou a perceber.,1
Utilize o medicamento Rifocina nos ferimentos por três dias e eles cicatrizarão.,1
"Por esta razão, tenho preferência por cabelo curto.",1
"E, com certeza, quando vocês encontram alguém desse tipo, que sabe abordar, vocês gostam!",1
"Mato saudades por aqui, já que não tenho como ir ao Brasil.",1
"Por exemplo: há dias atrás minha vizada estava com a perna quebrada, andando de muletas e carregando sacolas.",1
"Claramente, existem muitos parentes que não se importam com você.",1
"Você pode ser um rapaz legal, bonito, com dentes perfeitos e hálito refrescante, uma pessoa com presença positiva e de excelente caráter.",1
Há também o outro lado quando o homem não atende nossas necessidades e assim acabamos procurando por outro que o faça.,1
Sugiro fazer atividades físicas ou se matricular em algum curso que você tem muita vontade de fazer.,1
"Se Deus me chamar, eu também irei onde for preciso.",1
Não deixo de fazer as minhas tarefas por causa dos outros.,1
Mas você vai ter que mandar a sua foto também.,1
"Veja, algum idiota vai responder assim: aqui, seu grande amor sou seu.",1
Você não imagina o tamanho da decepção.,1
Depende daquilo que você quer fazer.,1
O motivo é que as mulheres que estão interessadas não são bonitas e já possuem uma idade mais avançada.,1
Acredito que a melhor forma seja conversar seriamente com ele.,1
Mas é muito fiel ao seu grande amor!,1
"Ter alguém sempre junto, mas não com compromisso.",1
