text,label
Di conseguenza solamente gli uomini rallenterebbero.,1
"Provi a fargli uno squillo come prima cosa e, se ottiene risposta, gli mandi un SMS e osservi le sue reazioni",1
"Esatto, all'età di 17 anni mi sono recata presso la città di New York in visita ad un'amica",1
Un augurio di buon esito!,1
Un consiglio: non programmare il tuo futuro con una persona molto più anziana di te.,1
Puoi cercare sulle pagine bianche.,1
"Delle volte non è facile per una donna raggiungere l'orgasmo, persino un piccolo inconveniente può causare il mancato orgasmo.",1
Per tutto il resto ti auguro buona fortuna e che tutto si risolva per il meglio.,1
"Quando la vedrai, sarai molto felice.",1
"Sinceramente non molto per me, anzi sono veramente incavolato.",1
Attualmente mi trovo presso la mia abitazione in compagnia delle mie amicizie femminili.,1
I piccoli regali sono sempre ben accetti,1
"Mio caro amico, la verità, purtroppo, è dolorosa.",1
"È un peccato che non vi sia una legge per uccidere i mariti, specialmente quelli come te!",1
"Il fidanzato di lei la tradisce, e non con la migliore amica, ma addirittura con la sorella",1
Forse più delle persone ricche che sono molto piene di sé,1
"Benvenuto, caro Pimpa!",1
Puoi avviarti anche da sola.,1
Mi hai fatto proprio ridere! Complimenti per la battuta.,1
"Quello che ti abbisogna è solamente il tempo, quella è la migliore medicina per guarire questo tipo di ferite.",1
"È utile provare ad allentare la tensione, ascoltare melodie, ove possibile dilettarsi in una passeggiata.",1
Quando siete voi a tradire è difficile commentare.,1
L'amore è libertà quindi se ti senti come dici non è vero amore.,1
Ora sto scrivendo a te e sono molto annoiata.,1
Posso dirti che il primo amore di rivela essere sempre quello sbagliato.,1
Mi trovo a letto a giocare con il personal computer.,1
L'ho già spiegato in precedenza.,1
"Non voglio dirti che la tua sia una dipendenza, ma sicuramente sei innamorata di lui, ti saluto ora.",1
La speranza è che non sia necessario attendere a lungo.,1
Comunque potrebbe essere colpa della timidezza o della paura di non essere al tuo livello.,1
Tuttavia allontanare i genitori della moglie che è deceduta non è un comportamento normale.,1
Penso che non risponderà più.,1
Io sono stata fidanzata a distanza per sei anni e lui mi diceva che gli mancavo.,1
"No, nessuno sta avendo cattivi pensieri",1
"Non mi è chiaro se tu sia un uomo o una donna, in ogni caso io sono più grande di te.",1
"È necessario frequentare un ragazzo in grado di offrirti settecento euro, in modo da poter soddisfare i tuoi desideri di acquisti.",1
Con l'altra persona non è accaduto alcunché.,1
Ad ogni modo riguarda solo il futuro.,1
"Ad essere onesto, per il mio carattere, ho sempre preferito risolvere i miei problemi da solo.",1
Sfortunatamente non possiamo entrare in contatto perché non rientro tra gli iscritti.,1
"Sia l'una che l'altra cosa. Le donne sono creature particolari: se le opprimi, si sentono soffocare. E, se le soffochi, puoi pure dire loro addio!",1
Gradiremmo meno divertimento e più serietà.,1
"Da giovani si è nel pieno delle proprie forze e energie vitali, ragion per cui è l'età migliore nella quale avere figli.",1
Buona fortuna.,1
"Continua così, e se tutto andrà bene, le cose miglioreranno.",1
Hai appena acquisito la consapevolezza che non farà alcun ritorno.,1
Da quando ho iniziato a pensare in modo indipendente molti rapporti con dei miei amici si sono raffreddati,1
"Se è la tua migliore amica scegli per lei qualcosa che sia personale, qualcosa che perduri.",1
"Nel caso ti ami, lo farà sicuramente.",1
Ma desidererei che lui lo facesse.,1
"Ritengo che andarsene sia un segno di debolezza e di paura, se si hanno tanti problemi in un luogo bisognerebbe cercare di risolverli.",1
"Tanto per iniziare, comportati da uomo e non stare a compiangerti, prendi atto della sua scelta e vai avanti per la tua strada.",1
Si è trattato solo di uno scherzo.,1
È pessimo!,1
"A chi sono destinate le tue parole Pierino, sai dove trovarmi eventualmente.",1
Fra 6 giorni sarà il mio compleanno.,1
Vedrai che arriverà la donna che sceglierà non solo te ma anche la tua musica.,1
"Lui effettua una depilazione parziale che comprende arti inferiori, torso e ascelle, ma se fossi io a poter decidere per lui lo e pilerei ovunque.",1
"È probabile che abbia paura a contraddirti, temendo di ferirti.",1
